"","Group1","Group2","Group1Participant","Group2Participant","Condition","RR.HR","DET.HR","NRLINE.HR","maxL.HR","L.HR","ENTR.HR","rENTR.HR","LAM.HR","TT.HR","RR.RE","DET.RE","NRLINE.RE","maxL.RE","L.RE","ENTR.RE","rENTR.RE","LAM.RE","TT.RE"
"134",21,22,1,2,1,4.21352401662394,98.4201852142521,10014,172,12.5231675654084,2.9352538512986,0.59144584809315,98.7576518599906,13.6883498313935,1.81351831434522,67.2346533817445,12461,19,3.19500842629003,1.50439160367768,0.520483774991177,72.7585915730811,3.15749358739465
"135",21,22,2,1,1,2.18784473385554,97.9943169795351,5740,130,11.2952961672474,2.85736301623499,0.602192600217577,99.2896224418851,14.8355916892502,1.71168687982359,48.6187153336912,10558,16,2.57368819852245,1.0294554257486,0.414283339712754,61.70692431562,2.68828435575649
"138",21,26,1,2,1,12.6475113257161,98.9980849044418,32695,345,16.1744915124637,3.09253945835165,0.553499521397193,99.3197011477469,18.7193211488251,6.94604224215092,91.6822236050612,62604,60,4.58916363171682,2.08539538492031,0.551081099696643,97.888724011935,6.72135062886191
"139",21,26,2,1,1,3.17290522197551,97.9001567047235,9398,104,13.9599914875505,3.10157214783026,0.681083881198236,99.2455786881576,25.5570714834742,2.32139872652013,71.5959437781682,24200,18,3.09838842975207,1.44003593533189,0.561428603314434,94.5410969368268,6.08923739237392
"142",22,26,1,2,1,3.00894477610373,98.132724128631,11349,131,10.9006960965724,2.8737474248552,0.612563275416214,98.8204591245855,13.2011232383173,2.32144931421168,51.8937279882989,20986,12,2.56976079290956,1.02465116312632,0.427312724934203,97.0121822135833,6.35828708375378
"143",22,26,2,1,1,2.50217914947772,98.2486597859473,9706,130,10.6117865237997,2.76775184102367,0.572289187080971,98.9869698761852,22.6181342632956,1.400951615065,67.2662042573547,14395,19,2.93060090309135,1.33012269593024,0.5040143239799,94.1863987881687,5.62026641294006
"146",2,6,1,2,2,0.679335828355825,93.2199309957474,4204,84,5.52711703139867,2.20135597824522,0.554456958374057,95.7434004653775,6.54732510288066,3.75786371258702,84.0948736325405,36826,29,3.37745071416934,1.58272785062768,0.512036917806839,95.3928952955335,5.28478855302094
"147",2,6,2,1,2,11.9925149325243,99.3502656661197,20473,220,21.3533434279295,3.43016748367057,0.671798690605711,99.5070745819565,22.5385803263499,4.68158951166218,79.8158017562331,48304,33,3.04461328254389,1.3791885827668,0.413896739697494,95.5752260417458,3.87461221975314
"150",2,7,1,2,2,2.21889471350738,97.1354908338705,6973,182,9.2932740570773,2.62248999356226,0.565834593613205,98.3676344940267,11.2601235415237,4.92184408237053,87.3359029872227,39366,39,3.54557232129249,1.65268798443067,0.45769192887036,97.6266159410314,5.79529752618676
"151",2,7,2,1,2,13.4803017507892,99.6659240014113,12320,419,32.7875811688312,4.04485136857687,0.721075266310971,99.8322218027767,36.4486983154671,4.25123227806291,81.3364339063598,36194,31,3.10206111510195,1.42996270784032,0.477333278565605,96.9204355290896,4.53980318968442
